Function;Description;Функция;Описание;Доступно;;;
ABS;Returns the absolute value of a number;ABS;Возвращает модуль (абсолютную величину) числа.;ABS;;;
ACCRINT;Returns the accrued interest for a security that pays periodic interest;НАКОПДОХОД;Возвращает накопленный процент по ценным бумагам с периодической выплатой процентов.;;;;
ACCRINTM;Returns the accrued interest for a security that pays interest at maturity;НАКОПДОХОДПОГАШ;Возвращает накопленный процент по ценным бумагам, процент по которым выплачивается в срок погашения.;;;;
ACOS;Returns the arccosine of a number;ACOS;Возвращает арккосинус числа.;ACOS;;;
ACOSH;Returns the inverse hyperbolic cosine of a number;ACOSH;Возвращает гиперболический арккосинус числа.;ACOSH;;;
ACOT;Returns the arccotangent of a number;ACOT;Возвращает арккотангенс числа.;ACOT;;;
ACOTH;Returns the hyperbolic arccotangent of a number;ACOTH;Возвращает гиперболический арккотангенс числа.;ACOTH;;;
ADDRESS;Returns a reference as text to a single cell in a worksheet;АДРЕС;Возвращает ссылку на отдельную ячейку листа в виде текста.;ADDRESS;;;
AGGREGATE;Returns an aggregate in a list or database;АГРЕГАТ;Возвращает агрегированное выражение списка или базы данных.;;;;
AMORDEGRC;Returns the depreciation for each accounting period by using a depreciation coefficient;АМОРУМ;Возвращает величину амортизации для каждого учетного периода, используя коэффициент амортизации.;;;;
AMORLINC;Returns the depreciation for each accounting period;АМОРУВ;Возвращает величину амортизации для каждого учетного периода.;;;;
AND;Returns TRUE if all of its arguments are TRUE;И;Возвращает значение ИСТИНА, если все аргументы имеют значение ИСТИНА.;AND;;;
ARABIC;Converts a Roman number to Arabic, as a number;АРАБСКОЕ;Преобразует римские числа в арабские в виде числа.;ARABIC;;;
AREAS;Returns the number of areas in a reference;ОБЛАСТИ;Возвращает количество областей в ссылке.;AREAS;;;
ASC;Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters;ASC;Для языков с двухбайтовыми наборами знаков (например, катакана) преобразует полноширинные (двухбайтовые) знаки в полуширинные (однобайтовые).;ASC;;;
ASIN;Returns the arcsine of a number;ASIN;Возвращает арксинус числа.;ASIN;;;
ASINH;Returns the inverse hyperbolic sine of a number;ASINH;Возвращает гиперболический арксинус числа.;ASINH;;;
ATAN;Returns the arctangent of a number;ATAN;Возвращает арктангенс числа.;ATAN;;;
ATAN2;Returns the arctangent from x- and y-coordinates;ATAN2;Возвращает арктангенс для заданных координат x и y.;ATAN2;;;
ATANH;Returns the inverse hyperbolic tangent of a number;ATANH;Возвращает гиперболический арктангенс числа.;ATANH;;;
AVEDEV;Returns the average of the absolute deviations of data points from their mean;СРОТКЛ;Возвращает среднее арифметическое абсолютных значений отклонений точек данных от среднего.;AVEDEV;;;
AVERAGE;Returns the average of its arguments;СРЗНАЧ;Возвращает среднее арифметическое аргументов.;AVERAGE;;;
AVERAGEA;Returns the average of its arguments, including numbers, text, and logical values;СРЗНАЧА;Возвращает среднее арифметическое аргументов, включая числа, текст и логические значения.;AVERAGEA;;;
AVERAGEIF;Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria;СРЗНАЧЕСЛИ;Возвращает среднее значение (среднее арифметическое) всех ячеек в диапазоне, которые удовлетворяют данному условию.;AVERAGEIF;;;
AVERAGEIFS;Returns the average (arithmetic mean) of all cells that meet multiple criteria;СРЗНАЧЕСЛИМН;Возвращает среднее значение (среднее арифметическое) всех ячеек, которые удовлетворяют нескольким условиям.;;;;
BAHTTEXT;Converts a number to text, using the ß (baht) currency format;БАТТЕКСТ;Преобразует число в текст, используя денежный формат ß (БАТ).;BAHTTEXT;;;
BASE;Converts a number into a text representation with the given radix (base);ОСНОВАНИЕ;Преобразует число в текстовое представление с данным основанием (базой).;BASE;;;
BESSELI;Returns the modified Bessel function In(x);БЕССЕЛЬ.I;Возвращает модифицированную функцию Бесселя In(x).;BESSELI;;;
BESSELJ;Returns the Bessel function Jn(x);БЕССЕЛЬ.J;Возвращает функцию Бесселя Jn(x).;BESSELJ;;;
BESSELK;Returns the modified Bessel function Kn(x);БЕССЕЛЬ.K;Возвращает модифицированную функцию Бесселя Kn(x).;BESSELK;;;
BESSELY;Returns the Bessel function Yn(x);БЕССЕЛЬ.Y;Возвращает функцию Бесселя Yn(x).;BESSELY;;;
BETA.DIST;Returns the beta cumulative distribution function;БЕТА.РАСП;Возвращает интегральную функцию бета-распределения.;BETA.DIST;;;
BETA.INV;Returns the inverse of the cumulative distribution function for a specified beta distribution;БЕТА.ОБР;Возвращает обратную интегральную функцию указанного бета-распределения.;BETA.INV;;;
BETADIST;Returns the beta cumulative distribution function;БЕТАРАСП;Возвращает интегральную функцию бета-распределения.;;;;
BETAINV;Returns the inverse of the cumulative distribution function for a specified beta distribution;БЕТАОБР;Возвращает обратную интегральную функцию указанного бета-распределения.;;;;
BIN2DEC;Converts a binary number to decimal;ДВ.В.ДЕС;Преобразует двоичное число в десятичное.;BIN2DEC;;;
BIN2HEX;Converts a binary number to hexadecimal;ДВ.В.ШЕСТН;Преобразует двоичное число в шестнадцатеричное.;BIN2HEX;;;
BIN2OCT;Converts a binary number to octal;ДВ.В.ВОСЬМ;Преобразует двоичное число в восьмеричное.;BIN2OCT;;;
BINOM.DIST;Returns the individual term binomial distribution probability;БИНОМ.РАСП;Возвращает отдельное значение вероятности биномиального распределения.;BINOM.DIST;;;
BINOM.DIST.RANGE;Returns the probability of a trial result using a binomial distribution;БИНОМ.РАСП.ДИАП;Возвращает вероятность пробного результата с помощью биномиального распределения.;BINOM.DIST.RANGE;;;
BINOM.INV;Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value;БИНОМ.ОБР;Возвращает наименьшее значение, для которого интегральное биномиальное распределение меньше заданного значения или равно ему.;BINOM.INV;;;
BINOMDIST;Returns the individual term binomial distribution probability;БИНОМРАСП;Возвращает отдельное значение вероятности биномиального распределения.;;;;
